ImageName,CellType,BoxX,BoxY,BoxW,BoxH,Area,Perimeter,Circularity,AspectRatio,MeanBlue,MeanGreen,MeanRed
BloodImage_00001.jpeg,GlobuloRosso,333,92,80,71,4012.5,333.238,0.454064,1.12676,167.732,160.915,181.437
BloodImage_00001.jpeg,GlobuloRosso,464,123,75,80,3845,275.137,0.638275,0.9375,161.738,150.628,177.578
BloodImage_00001.jpeg,GlobuloRosso,195,134,80,80,6082.5,340.87,0.657831,1,151.946,152.514,178.378
BloodImage_00001.jpeg,GlobuloRosso,64,186,71,47,1397,335.764,0.155717,1.51064,180.191,167.136,180.573
BloodImage_00001.jpeg,GlobuloRosso,351,180,75,75,4075.5,273.095,0.686692,1,171.611,158.6,182.944
BloodImage_00001.jpeg,GlobuloRosso,301,185,80,79,5388,334.652,0.604576,1.01266,167.976,160.724,184.629
BloodImage_00001.jpeg,GlobuloRosso,172,188,80,73,4838,280.711,0.771539,1.09589,159.799,159.05,180.578
BloodImage_00001.jpeg,GlobuloRosso,562,244,41,46,1116.5,150.326,0.62087,0.891304,184.019,153.699,170.181
BloodImage_00001.jpeg,GlobuloRosso,606,240,29,50,932,139.598,0.60099,0.58,165.984,160.929,182.851
BloodImage_00001.jpeg,GlobuloRosso,0,226,80,80,4269,360.995,0.411655,1,160.761,158.293,179.644
BloodImage_00001.jpeg,GlobuloRosso,471,231,80,80,5993,303.113,0.819683,1,167.651,164.058,185.735
BloodImage_00001.jpeg,GlobuloRosso,47,250,80,80,4956.5,305.439,0.667632,1,158.737,156.907,179.303
BloodImage_00001.jpeg,GlobuloRosso,543,266,76,80,4237,434.167,0.282459,0.95,170.024,156.298,175.25
BloodImage_00001.jpeg,GlobuloRosso,539,266,15,46,408,109.799,0.425278,0.326087,173.221,158.607,182.308
BloodImage_00001.jpeg,GlobuloRosso,0,282,80,80,4813,287.539,0.73153,1,163.31,162.593,180.418
BloodImage_00001.jpeg,GlobuloRosso,458,297,80,80,5502,354.853,0.549078,1,156.674,157.525,183.227
BloodImage_00001.jpeg,GlobuloRosso,599,302,41,80,2680.5,318.184,0.332713,0.5125,166.011,163.163,183.464
BloodImage_00001.jpeg,GlobuloRosso,519,336,80,69,4427,333.539,0.500064,1.15942,165.971,155.285,175.709
BloodImage_00001.jpeg,GlobuloRosso,341,379,26,45,739.5,117.154,0.677067,0.577778,178.785,167.046,190.642
BloodImage_00001.jpeg,GlobuloRosso,0,384,63,80,4224,257.054,0.803315,0.7875,165.989,155.43,177.177
BloodImage_00001.jpeg,GlobuloRosso,565,451,65,29,864,188.51,0.305532,2.24138,181.004,165.296,185.905
BloodImage_00001.jpeg,GlobuloRosso,465,456,60,24,1001.5,167.841,0.446752,2.5,170.602,168.469,188.548
BloodImage_00003.jpeg,GlobuloBianco,147,54,173,155,17839.5,671.654,0.496937,1.11613,205.344,140.648,152.082
BloodImage_00003.jpeg,Piastrina,402,448,17,27,126.5,106.811,0.139337,0.62963,153.006,147.047,177.081
BloodImage_00003.jpeg,Piastrina,546,446,10,11,34.5,32.3848,0.413378,0.909091,147.143,123.653,157.878
BloodImage_00003.jpeg,Piastrina,556,445,7,6,5.5,21.0711,0.155668,1.16667,138,144.875,176.125
BloodImage_00003.jpeg,Piastrina,611,439,14,12,66,42.9706,0.449171,1.16667,204.535,151.105,165.744
BloodImage_00003.jpeg,Piastrina,416,437,8,7,26,22.4853,0.646229,1.14286,173.243,151.135,184.649
BloodImage_00003.jpeg,Piastrina,115,423,9,7,17.5,34.7279,0.182344,1.28571,143.088,128,156.471
BloodImage_00003.jpeg,Piastrina,49,398,6,11,16,30.1421,0.2213,0.545455,146,143.433,167
BloodImage_00003.jpeg,Piastrina,375,389,8,7,28,21.3137,0.774551,1.14286,188.947,156.053,159.789
BloodImage_00003.jpeg,Piastrina,526,385,17,20,98.5,59.3553,0.351339,0.85,179.387,161.024,180.831
BloodImage_00003.jpeg,Piastrina,224,325,5,8,7.5,19.8995,0.238006,0.625,161.118,150,179.588
BloodImage_00003.jpeg,Piastrina,427,323,3,7,10.5,16.2426,0.500133,0.428571,134.526,148.526,166.737
BloodImage_00003.jpeg,Piastrina,242,316,3,11,16,21.6569,0.428686,0.272727,132.444,135.296,167.074
BloodImage_00003.jpeg,Piastrina,347,276,13,11,87.5,37.5563,0.779563,1.18182,216.61,155.4,171.514
BloodImage_00003.jpeg,Piastrina,559,271,14,12,109,42.1421,0.771264,1.16667,212.69,129.426,162.318
BloodImage_00003.jpeg,Piastrina,514,220,5,4,5,11.6569,0.462399,1.25,185.636,165.091,180.727
BloodImage_00003.jpeg,Piastrina,327,131,4,8,9,20.4853,0.269506,0.5,183.526,154.684,178.947
BloodImage_00003.jpeg,Piastrina,352,95,9,10,54.5,30.7279,0.725337,0.9,170.319,147.594,156.188
BloodImage_00003.jpeg,Piastrina,5,76,3,4,5,8.82843,0.806145,0.75,140.9,140.3,157.1
BloodImage_00003.jpeg,Piastrina,594,70,11,10,65,32.1421,0.790631,1.1,166.875,135.825,153.925
BloodImage_00003.jpeg,Piastrina,477,56,7,7,15,19.3137,0.505324,1,181.583,152.458,182.875
BloodImage_00003.jpeg,Piastrina,272,17,10,21,116,50.9706,0.561085,0.47619,159.1,141.136,163.907
BloodImage_00003.jpeg,Piastrina,591,15,9,9,38,34.9706,0.39047,1,163.759,148.519,163.37
BloodImage_00003.jpeg,Piastrina,292,14,9,8,29,28.1421,0.460144,1.125,150.452,120.929,159.881
BloodImage_00003.jpeg,Piastrina,491,11,10,8,48.5,26.7279,0.853142,1.25,177.656,163.262,174.689
BloodImage_00003.jpeg,Piastrina,498,0,10,5,21.5,21.8995,0.563352,2,145.469,153.844,174
BloodImage_00003.jpeg,Piastrina,404,0,6,3,5,13.6569,0.336883,2,161.667,163.333,171.083
BloodImage_00003.jpeg,GlobuloRosso,0,0,80,80,5727,332.426,0.651247,1,140.742,140.789,168.356
BloodImage_00003.jpeg,GlobuloRosso,332,0,77,37,1477,217.397,0.39272,2.08108,160.918,158.079,176.552
BloodImage_00003.jpeg,GlobuloRosso,123,0,80,80,3321.5,305.782,0.446397,1,165.801,160.183,177.91
BloodImage_00003.jpeg,GlobuloRosso,459,0,80,75,3166,377.966,0.278494,1.06667,166.58,166.177,183.376
BloodImage_00003.jpeg,GlobuloRosso,546,58,30,22,394,85.9411,0.670354,1.36364,168.002,164.356,165.497
BloodImage_00003.jpeg,GlobuloRosso,539,0,67,80,3579.5,315.439,0.452067,0.8375,161.584,158.807,179.586
BloodImage_00003.jpeg,GlobuloRosso,269,0,46,56,1960.5,186.184,0.710711,0.821429,152.359,149.413,173.73
BloodImage_00003.jpeg,GlobuloRosso,31,0,80,80,5702,327.598,0.667659,1,142.515,143.32,170.085
BloodImage_00003.jpeg,GlobuloRosso,421,2,75,75,2567.5,436.09,0.169655,1,176.233,168.562,183.827
BloodImage_00003.jpeg,GlobuloRosso,62,55,80,80,5473,353.255,0.551136,1,147.162,144.478,171.043
BloodImage_00003.jpeg,GlobuloRosso,317,95,55,74,1067.5,286.35,0.1636,0.743243,175.386,167.053,183.349
BloodImage_00003.jpeg,GlobuloRosso,32,109,80,80,5874.5,296.669,0.838757,1,142.274,141.521,169.877
BloodImage_00003.jpeg,GlobuloRosso,324,135,80,80,2897.5,308.066,0.383659,1,168.472,162.822,182.489
BloodImage_00003.jpeg,GlobuloRosso,399,149,80,69,3936.5,264.953,0.704663,1.15942,172.931,162.988,182.506
BloodImage_00003.jpeg,GlobuloRosso,137,209,80,46,2036.5,304.208,0.276537,1.73913,172.765,161.933,181.144
BloodImage_00003.jpeg,GlobuloRosso,41,187,80,80,4537,450.108,0.281414,1,153.523,153.53,175.156
BloodImage_00003.jpeg,GlobuloRosso,209,216,80,79,3098,342.309,0.332243,1.01266,170.803,163.234,186.737
BloodImage_00003.jpeg,GlobuloRosso,524,218,80,79,5156.5,283.439,0.806579,1.01266,180.829,165.911,182.973
BloodImage_00003.jpeg,GlobuloRosso,161,239,80,80,5721,357.882,0.561308,1,165.466,164.163,185.249
BloodImage_00003.jpeg,GlobuloRosso,447,246,80,80,6065,354.284,0.607207,1,152.72,155.126,183.135
BloodImage_00003.jpeg,GlobuloRosso,249,263,80,78,4598.5,315.296,0.581283,1.02564,163.211,159.512,188.721
BloodImage_00003.jpeg,GlobuloRosso,0,294,79,58,3665.5,265.782,0.652068,1.36207,161.213,154.768,178.351
BloodImage_00003.jpeg,GlobuloRosso,55,272,25,30,372.5,93.6985,0.533177,0.833333,147.029,148.438,171.538
BloodImage_00003.jpeg,GlobuloRosso,320,281,80,80,3887.5,320.208,0.476448,1,168.815,162.737,190.478
BloodImage_00003.jpeg,GlobuloRosso,149,300,73,80,4153,339.137,0.453755,0.9125,158.846,158.711,183.443
BloodImage_00003.jpeg,GlobuloRosso,267,314,80,49,3083.5,292.811,0.451938,1.63265,160.507,163.398,191.479
BloodImage_00003.jpeg,GlobuloRosso,623,361,17,49,533.5,114.527,0.511127,0.346939,155.787,153.721,177.944
BloodImage_00003.jpeg,GlobuloRosso,0,354,80,80,5044,309.823,0.660323,1,158.372,156.067,177.829
BloodImage_00003.jpeg,GlobuloRosso,135,362,80,80,4809,333.882,0.542098,1,158.319,158.156,185.257
BloodImage_00003.jpeg,GlobuloRosso,43,386,80,80,4632,320.225,0.567632,1,156.174,151.91,176.947
BloodImage_00003.jpeg,GlobuloRosso,372,412,80,66,3350.5,306.752,
